index,FSA,census under 60,census above 60,census total
689,K2M,41705,6970,48675
690,K2P,28895,5735,34630
691,K2R,1650,600,2250
692,K2S,47320,10890,58210
693,K2T,14420,2310,16730
694,K2V,3865,450,4315
695,K2W,13320,1715,15035
696,K4A,84825,13050,97875
697,K4B,6980,1900,8880
698,K4C,6445,1940,8385
699,K4K,21980,6215,28195
700,K4M,15305,5075,20380
701,K4P,14605,3325,17930
702,K4R,10970,2565,13535
703,K6A,15675,8280,23955
704,K6H,40765,17260,58025
705,K6J,23055,10155,33210
706,K6K,4195,1615,5810
707,K6T,765,255,1020
708,K6V,35370,17750,53120
709,K7A,22145,8905,31050
710,K7C,24740,7980,32720
711,K7G,10375,5505,15880
712,K7H,18235,10615,28850
713,K7K,47505,11340,58845
714,K7L,24265,10095,34360
715,K7M,64010,26360,90370
716,K7N,10930,3575,14505
717,K7P,30895,9045,39940
718,K7R,18605,8530,27135
719,K7S,16915,7585,24500
720,K7V,17130,8415,25545
721,K8A,34645,13915,48560
722,K8B,630,165,795
723,K8H,24350,2670,27020
724,K8N,37625,15855,53480
725,K8P,28585,11745,40330
726,K8R,1940,685,2625
727,K8V,37775,12900,50675
728,K9A,31120,18050,49170
729,K9H,38575,15930,54505
730,K9J,57495,24025,81520
731,K9K,17410,7390,24800
732,K9L,9995,3570,13565
733,K9V,34750,18405,53155
734,L0A,19385,5815,25200
735,L0B,21740,6630,28370
736,L0C,13405,4115,17520
737,L0E,28690,9695,38385
738,L0G,57880,15825,73705
739,L0H,4855,1490,6345
740,L0J,7340,1980,9320
741,L0K,45895,19605,65500
742,L0L,66475,20405,86880
743,L0M,53580,12305,65885
744,L0N,7405,1850,9255
745,L0P,11990,3880,15870
746,L0R,139195,39445,178640
747,L0S,69745,35160,104905
748,L1A,19370,9825,29195
749,L1B,15540,6715,22255
750,L1C,65640,13380,79020
751,L1E,42040,7370,49410
752,L1G,55455,22960,78415
753,L1H,45095,13845,58940
754,L1J,60810,17260,78070
755,L1K,59835,10900,70735
756,L1L,8910,1195,10105
757,L1M,33115,4675,37790
758,L1N,67320,21800,89120
759,L1P,27205,3935,31140
760,L1R,62140,11040,73180
761,L1S,59415,16345,75760
762,L1T,78980,12590,91570
763,L1V,76365,20155,96520
764,L1W,24370,7670,32040
765,L1X,30065,5340,35405
766,L1Y,2975,800,3775
767,L1Z,44795,4805,49600
768,L2A,21625,9595,31220
769,L2E,28185,12040,40225
770,L2G,35850,13405,49255
771,L2H,37025,9830,46855
772,L2J,18570,8910,27480
773,L2M,43605,18290,61895
774,L2N,37130,22085,59215
775,L2P,20820,6235,27055
776,L2R,35730,10540,46270
777,L2S,27330,7730,35060
778,L2T,14295,6375,20670
779,L2V,23790,6520,30310
780,L2W,3085,575,3660
781,L3B,31575,11840,43415
782,L3C,42395,16955,59350
783,L3K,23410,11360,34770
784,L3M,36795,13000,49795
785,L3P,52215,18670,70885
786,L3R,88755,28700,117455
787,L3S,84705,18800,103505
788,L3T,69625,26345,95970
789,L3V,59325,25665,84990
790,L3X,66600,9220,75820
791,L3Y,62745,21500,84245
792,L3Z,51070,9765,60835
793,L4A,59755,16625,76380
794,L4B,52280,14950,67230
795,L4C,101045,33600,134645
796,L4E,81180,11785,92965
797,L4G,83285,18765,102050
798,L4H,106610,14220,120830
799,L4J,109975,33045,143020
800,L4K,22900,6270,29170
801,L4L,72440,30910,103350
802,L4M,67875,17375,85250
803,L4N,147475,33590,181065
804,L4P,43960,9060,53020
805,L4R,23125,11410,34535
806,L4S,54835,11165,66000
807,L4T,56885,13020,69905
808,L4V,0,0,0
809,L4W,27430,12155,39585
810,L4X,28825,7025,35850
811,L4Y,32785,11920,44705
812,L4Z,58445,12190,70635
813,L5A,69085,19715,88800
814,L5B,95395,22340,117735
815,L5C,43255,12045,55300
816,L5E,17910,6090,24000
817,L5G,28985,8885,37870
818,L5H,25325,7535,32860
819,L5J,40430,12225,52655
820,L5K,19760,6055,25815
821,L5L,64545,19405,83950
822,L5M,161275,30270,191545
823,L5N,131540,23960,155500
824,L5R,55350,13960,69310
825,L5S,0,0,0
826,L5T,0,0,0
827,L5V,79520,14170,93690
828,L5W,39475,5145,44620
829,L6A,132555,22115,154670
830,L6B,44950,7340,52290
831,L6C,77835,14450,92285
832,L6E,54650,10595,65245
833,L6G,8580,1570,10150
834,L6H,91615,20370,111985
835,L6J,34430,11410,45840
836,L6K,17725,7060,24785
837,L6L,39885,15830,55715
838,L6M,100495,15970,116465
839,L6P,126130,20775,146905
840,L6R,134965,22870,157835
841,L6S,78745,19385,98130
842,L6T,57140,12915,70055
843,L6V,63245,13000,76245
844,L6W,31610,9460,41070
845,L6X,103660,16970,120630
846,L6Y,133040,27170,160210
847,L6Z,49645,10640,60285
848,L7A,126900,14560,141460
849,L7B,21620,5525,27145
850,L7C,36680,8105,44785
851,L7E,51290,10485,61775
852,L7G,69130,15045,84175
853,L7J,20145,4890,25035
854,L7K,11875,3520,15395
855,L7L,66410,19375,85785
856,L7M,70585,16740,87325
857,L7N,16370,8425,24795
858,L7P,41355,13845,55200
859,L7R,21775,8460,30235
860,L7S,15180,8685,23865
861,L7T,22645,11160,33805
862,L8E,56400,16090,72490
863,L8G,27110,14245,41355
864,L8H,38565,9465,48030
865,L8J,36915,7575,44490
866,L8K,43830,15370,59200
867,L8L,46970,9475,56445
868,L8M,20255,5140,25395
869,L8N,21685,4460,26145
870,L8P,33550,10160,43710
871,L8R,15500,5085,20585
872,L8S,21290,6135,27425
873,L8T,26325,9565,35890
874,L8V,28290,12230,40520
875,L8W,38900,8255,47155
876,L9A,35605,10995,46600
877,L9B,34100,10465,44565
878,L9C,55265,20080,75345
879,L9E,1155,65,1220
880,L9G,32355,11335,43690
881,L9H,40835,18440,59275
882,L9J,805,325,1130
883,L9K,20825,5170,25995
884,L9L,19500,8725,28225
885,L9M,19270,8920,28190
886,L9N,17215,4175,21390
887,L9P,23670,7690,31360
888,L9R,28745,10680,39425
889,L9S,41280,11195,52475
890,L9T,158245,23035,181280
891,L9V,19800,5005,24805
892,L9W,65855,16570,82425
893,L9Y,30740,16280,47020
894,L9Z,23160,16160,39320
895,M1B,97730,23775,121505
896,M1C,50535,16095,66630
897,M1E,66635,21040,87675
898,M1G,43305,11025,54330
899,M1H,36035,9455,45490
900,M1J,54235,12690,66925
901,M1K,71705,17825,89530
902,M1L,53250,11195,64445
903,M1M,32435,10550,42985
904,M1N,31580,10005,41585
905,M1P,66275,19015,85290
906,M1R,43185,12810,55995
907,M1S,53240,18855,72095
908,M1T,46825,18830,65655
909,M1V,77620,25305,102925
910,M1W,65580,26860,92440
911,M1X,23215,4220,27435
912,M2H,32740,14080,46820
913,M2J,86075,23070,109145
914,M2K,34700,11285,45985
915,M2L,16415,5570,21985
916,M2M,46240,16135,62375
917,M2N,117850,26950,144800
918,M2P,11180,3615,14795
919,M2R,57635,20165,77800
920,M3A,51105,13080,64185
921,M3B,17705,7460,25165
922,M3C,55290,17990,73280
923,M3H,54425,14725,69150
924,M3J,39460,8190,47650
925,M3K,8585,2720,11305
926,M3L,24735,7585,32320
927,M3M,35260,9490,44750
928,M3N,61815,13950,75765
929,M4A,19905,7465,27370
